"k_page_title"	"k_page_name"	"tips"	"statuss"	"lat"	"lon"	"mazais_lv"	"mazais_en"	"garums"	"datums"	"foto"	"apraksts_lv"	"apraksts_en"	"featured_image"	"my_image_thumb"
"Škėvonių gamtos takas"	"skevoniu-gamtos-takas"	"taka"	"neparbaudits"	"54.6043414644"	"24.0073905678"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Prienumiskuuredija/Puslapiai/Škėvoniųgamtostakas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Prienumiskuuredija/Puslapiai/Škėvoniųgamtostakas.aspx"">valstybiniaimiskai.lt</a>"		
"Guostos poilsiavietė"	"guostos-poilsiaviete"	"pikniks"	"neparbaudits"	"54.6042481521"	"24.3673115149"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Prienumiskuuredija/Puslapiai/Guostospoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Prienumiskuuredija/Puslapiai/Guostospoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Žvėrinčiaus dviračių-pėsčiųjų takas"	"veriniaus-dviraiu-pesiuju-takas"	"taka"	"neparbaudits"	"54.6128751545"	"24.0172184393"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Prienumiskuuredija/Puslapiai/Žvėrinčiausdviračių-pėsčiųjųtakas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Prienumiskuuredija/Puslapiai/Žvėrinčiausdviračių-pėsčiųjųtakas.aspx"">valstybiniaimiskai.lt</a>"		
"Prienų poilsiavietė"	"prienu-poilsiaviete"	"pikniks"	"neparbaudits"	"54.6436443634"	"23.96816946"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Prienumiskuuredija/Puslapiai/Prienųpoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Prienumiskuuredija/Puslapiai/Prienųpoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Gomerta"	"gomerta"	"pikniks"	"neparbaudits"	"55.5969113035"	"23.3736361941"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Gomerta.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Gomerta.aspx"">valstybiniaimiskai.lt</a>"		
"Klumpė"	"klumpe"	"pikniks"	"neparbaudits"	"55.793659744"	"23.7568008028"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Klumpė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Klumpė.aspx"">valstybiniaimiskai.lt</a>"		
"Burbiškių dvaro pavėsinė"	"burbiskiu-dvaro-pavesine"	"pikniks"	"neparbaudits"	"55.7806680735"	"23.8891124463"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Burbiškiųdvaropavėsinė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Burbiškiųdvaropavėsinė.aspx"">valstybiniaimiskai.lt</a>"		
"Rasos lašelis"	"rasos-laselis"	"pikniks"	"neparbaudits"	"55.8614518524"	"23.6777224472"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Poilsiavitėprievandens.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Poilsiavitėprievandens.aspx"">valstybiniaimiskai.lt</a>"		
"Medelyno poilsiavietė"	"medelyno-poilsiaviete"	"pikniks"	"neparbaudits"	"55.829917783"	"23.5147165717"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Medelynopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Medelynopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Paplūdimio poilsiavietė"	"papldimio-poilsiaviete"	"pikniks"	"neparbaudits"	"55.6388815787"	"23.7114754485"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Paplūdimiopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Paplūdimiopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Poilsiavietė Liepynės girininkijoje"	"poilsiaviete-liepynes-girininkijoje"	"pikniks"	"neparbaudits"	"55.7655253195"	"23.4988001834"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/PoilsiavietėLiepynėsgirininkijoje.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/PoilsiavietėLiepynėsgirininkijoje.aspx"">valstybiniaimiskai.lt</a>"		
"Medžiotojų pavėsinė"	"mediotoju-pavesine"	"pikniks"	"neparbaudits"	"55.6093486297"	"23.8284726334"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Med=iotij7pav4sine.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Med=iotij7pav4sine.aspx"">valstybiniaimiskai.lt</a>"		
"Prastavonių pušynas"	"prastavoniu-pusynas"	"pikniks"	"neparbaudits"	"55.716018334"	"23.7889012066"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Šeduvospoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Šeduvospoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Baisogalos miško paunksmėje"	"baisogalos-misko-paunksmeje"	"pikniks"	"neparbaudits"	"55.5880523698"	"23.6917912767"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Baisogalosmiškopaunksmėje.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Radviliskiomiskuuredija/Puslapiai/Baisogalosmiškopaunksmėje.aspx"">valstybiniaimiskai.lt</a>"		
"Jūkainių pažintinis - rekreacinis takas"	"jkainiu-paintinis-rekreacinis-takas"	"taka"	"neparbaudits"	"55.4278010787"	"22.9248882933"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Raseiniumiskuuredija/Puslapiai/Jūkainiųpažintinis-rekreacinistakas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Raseiniumiskuuredija/Puslapiai/Jūkainiųpažintinis-rekreacinistakas.aspx"">valstybiniaimiskai.lt</a>"		
"Poilsiavietė Gražusis ąžuolas"	"poilsiaviete-grausis-auolas"	"pikniks"	"neparbaudits"	"55.4591235863"	"23.1072697623"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Raseiniumiskuuredija/Puslapiai/PoilsiavietėGražusisąžuolas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Raseiniumiskuuredija/Puslapiai/PoilsiavietėGražusisąžuolas.aspx"">valstybiniaimiskai.lt</a>"		
"Monumentas partizanų kariams - poilsiavietė Žaliu taku"	"monumentas-partizanu-kariams-poilsiaviete-aliu-taku"	"pikniks"	"neparbaudits"	"55.2319910576"	"22.991562025"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Raseiniumiskuuredija/Puslapiai/Monumentaspartizanųkariams-poilsiavietėŽaliutaku.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Raseiniumiskuuredija/Puslapiai/Monumentaspartizanųkariams-poilsiavietėŽaliutaku.aspx"">valstybiniaimiskai.lt</a>"		
"Poilsiavietė Laužavietė"	"poilsiaviete-lauaviete"	"pikniks"	"neparbaudits"	"55.3513255071"	"22.9329215906"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Raseiniumiskuuredija/Puslapiai/PoilsiavietėLaužavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Raseiniumiskuuredija/Puslapiai/PoilsiavietėLaužavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Poilsiavietė Prie grybo"	"poilsiaviete-prie-grybo-1"	"pikniks"	"neparbaudits"	"55.3135302547"	"22.9041761691"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Raseiniumiskuuredija/Puslapiai/PoilsiavietėPriegrybo.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Raseiniumiskuuredija/Puslapiai/PoilsiavietėPriegrybo.aspx"">valstybiniaimiskai.lt</a>"		
"Poilsiavietė Giliukas"	"poilsiaviete-giliukas"	"pikniks"	"neparbaudits"	"55.1976212893"	"22.8588558346"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Raseiniumiskuuredija/Puslapiai/PoilsiavietėGiliukas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Raseiniumiskuuredija/Puslapiai/PoilsiavietėGiliukas.aspx"">valstybiniaimiskai.lt</a>"		
"Kelpšaičių poilsiavietė-stovyklavietė"	"kelpsaiiu-poilsiaviete-stovyklaviete"	"pikniks"	"neparbaudits"	"55.6236640349"	"22.2108473089"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rietavomiskuuredija/Puslapiai/Kelpšaičiųpoilsiavierė-stovyklavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rietavomiskuuredija/Puslapiai/Kelpšaičiųpoilsiavierė-stovyklavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Ruškio poilsiavietė"	"ruskio-poilsiaviete"	"pikniks"	"neparbaudits"	"55.7530336419"	"22.1861745196"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rietavomiskuuredija/Puslapiai/Ruškiopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rietavomiskuuredija/Puslapiai/Ruškiopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Labardžių poilsiavietė"	"labardiu-poilsiaviete"	"pikniks"	"neparbaudits"	"55.6918955267"	"22.0376303025"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rietavomiskuuredija/Puslapiai/Labardžiųpoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rietavomiskuuredija/Puslapiai/Labardžiųpoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Sartų stovyklavietė"	"sartu-stovyklaviete"	"pikniks"	"neparbaudits"	"55.7845796371"	"25.7684691735"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Sartųstovyklavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Sartųstovyklavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Miliūnų tvenkinio poilsiavietė"	"milinu-tvenkinio-poilsiaviete"	"pikniks"	"neparbaudits"	"56.0360537112"	"25.5687920511"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Miluinutvenkiniopoilseviete.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Miluinutvenkiniopoilseviete.aspx"">valstybiniaimiskai.lt</a>"		
"Lapkasai"	"lapkasai"	"pikniks"	"neparbaudits"	"56.0344057405"	"25.1296568901"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Lapkasai.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Lapkasai.aspx"">valstybiniaimiskai.lt</a>"		
"Poilsio takas"	"poilsio-takas"	"taka"	"neparbaudits"	"56.0345075343"	"25.5667394607"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Poilsiotakas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Poilsiotakas.aspx"">valstybiniaimiskai.lt</a>"		
"Kamajų šilo"	"kamaju-silo"	"pikniks"	"neparbaudits"	"55.7969930187"	"25.5310630951"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Kamaj.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Kamaj.aspx"">valstybiniaimiskai.lt</a>"		
"Dusetų girios mokomasis"	"dusetu-girios-mokomasis"	"taka"	"neparbaudits"	"55.7911494495"	"25.7882230366"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Dusetųgiriosmokomasis.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Dusetųgiriosmokomasis.aspx"">valstybiniaimiskai.lt</a>"		
"Dusetų girios rekreacinis"	"dusetu-girios-rekreacinis"	"taka"	"neparbaudits"	"55.7835580788"	"25.7776228815"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Dusetugiriosrekreacinis.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Dusetugiriosrekreacinis.aspx"">valstybiniaimiskai.lt</a>"		
"Vyžuonos poilsiavietė"	"vyuonos-poilsiaviete"	"pikniks"	"neparbaudits"	"56.0281347681"	"25.6422444682"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Vyzuonospoilsiaviete.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Rokiskiomiskuuredija/Puslapiai/Vyzuonospoilsiaviete.aspx"">valstybiniaimiskai.lt</a>"		
"Poilsiavietė Prie Gintaro"	"poilsiaviete-prie-gintaro"	"pikniks"	"neparbaudits"	"54.9615186724"	"23.5199987762"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/poilsiavietėPrieGintaro.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/poilsiavietėPrieGintaro.aspx"">valstybiniaimiskai.lt</a>"		
"Lekėčių pažintinis takas"	"lekeiu-paintinis-takas"	"taka"	"neparbaudits"	"54.997277082"	"23.5105161314"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/Lekėčiųpažintinistakas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/Lekėčiųpažintinistakas.aspx"">valstybiniaimiskai.lt</a>"		
"Šlaito poilsiavietė"	"slaito-poilsiaviete"	"pikniks"	"neparbaudits"	"55.0623962237"	"22.767077842"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/Šlaitopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/Šlaitopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Poilsiavietė Saulutė"	"poilsiaviete-saulute"	"pikniks"	"neparbaudits"	"54.9366834759"	"23.3252451665"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/PoilsiavietėSaulutė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/PoilsiavietėSaulutė.aspx"">valstybiniaimiskai.lt</a>"		
"Poilsiavietė Angliukas"	"poilsiaviete-angliukas"	"pikniks"	"neparbaudits"	"54.9046587432"	"23.2613834096"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/PoilsiavietėAngliukas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/PoilsiavietėAngliukas.aspx"">valstybiniaimiskai.lt</a>"		
"Poilsiavietė Medžiotojų užeiga"	"poilsiaviete-mediotoju-ueiga"	"pikniks"	"neparbaudits"	"54.9080391461"	"23.2528096536"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/PoilsiavietėMedžiotojųužeiga.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/PoilsiavietėMedžiotojųužeiga.aspx"">valstybiniaimiskai.lt</a>"		
"Didžiosios girios poilsiavietė"	"didiosios-girios-poilsiaviete"	"pikniks"	"neparbaudits"	"55.0368883218"	"23.1620983998"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/Didžiosiosgiriospoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/Didžiosiosgiriospoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Plokščių pažintinis takas"	"ploksiu-paintinis-takas"	"taka"	"neparbaudits"	"55.0832535909"	"23.1777138588"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/Plokščiųpažintinistakas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/Plokščiųpažintinistakas.aspx"">valstybiniaimiskai.lt</a>"		
"Šilo poilsiavietė"	"silo-poilsiaviete"	"pikniks"	"neparbaudits"	"55.0057250765"	"22.9856731947"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/Šilopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/Šilopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Ąžuolyno poilsiavietė"	"auolyno-poilsiaviete"	"pikniks"	"neparbaudits"	"54.9733130742"	"23.0590703476"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/Ąžuolynopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/Ąžuolynopoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Baraviškių poilsiavietė"	"baraviskiu-poilsiaviete"	"pikniks"	"neparbaudits"	"55.0651785547"	"23.3747459279"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/Baraviškiųpoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Sakiumiskuuredija/Puslapiai/Baraviškiųpoilsiavietė.aspx"">valstybiniaimiskai.lt</a>"		
"Kryžkelė"	"krykele-1"	"pikniks"	"neparbaudits"	"54.199451727"	"25.6342470924"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Salcininkumiskuuredija/Puslapiai/Kryžkelė.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Salcininkumiskuuredija/Puslapiai/Kryžkelė.aspx"">valstybiniaimiskai.lt</a>"		
"Šilas"	"silas-1"	"pikniks"	"neparbaudits"	"54.3635877883"	"25.3192002389"	"Lietuvas valsts mežu objekts"	"Lithuanian state forest managed site"				"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Salcininkumiskuuredija/Puslapiai/Šilas.aspx"">valstybiniaimiskai.lt</a>"	"More details in their official webpage <a href=""http://www.valstybiniaimiskai.lt/lt/RekreaciniaiObjektai/Salcininkumiskuuredija/Puslapiai/Šilas.aspx"">valstybiniaimiskai.lt</a>"		
